,,Acceptance,,,,,,,,,,,,,,,,,,,
Stretch Factor,Per pipeline task,Stage 1,Stage 2,Stage 3,Total,,,,,,,,,,,,,,,,
,,,,,0,,,,-p,20,-t,5,-c,4,-r,10,,,,,
,,,,,0,,,,3.6,13.1,3.3,2.1,2.4541127335,0.4,-,both,,,,,
,,,,,0,,,,3.3,14.4,2.3,2.6,2.3136703636,0.4,-,with,migration,,,,
,,,,,0,,,,3,9.4,7.6,2.5,2.0723983652,0,,,-,with,only,online,adjustments
,,,,,0,,,,3,13.8,3.2,2.8,2.1286573581,0,,-,without,any,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,10,tasks,,,,,,,,,,,
,,,,,0,,,,3.6,13.1,3.3,2.1,2.4541127335,0.4,-,both,,,,,
,,,,,0,,,,3.3,14.4,2.3,2.6,2.3136703636,0.4,-,with,migration,,,,
,,,,,0,,,,3,9.4,7.6,2.5,2.0723983652,0,,,-,with,only,online,adjustments
,,,,,0,,,,3,13.8,3.2,2.8,2.1286573581,0,,-,without,any,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,Core,8,,,,,,,,,,,
,,,,,0,,,,Total,Pipelines,Fed,40,,,,,,,,,
,,,,,0,,,,-p,40,-t,3,-c,8,-r,10,,,,,
,,,,,0,,,,6.5,15.8,17.7,0,4.9243863975,2.1,-,with,both,,,,
,,,,,0,,,,6.5,15.8,17.7,0,4.98455383,1.9,-,with,migration,,,,
,,,,,0,,,,6,0,34.1,0,4.5249690892,0,-,with,online,adjustments,,,
,,,,,0,,,,6,0,34,0,4.5932083551,0,-,without,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,-p,40,-t,5,-c,8,-r,10,,,,,
,,,,,0,,,,7.2,27.3,5.5,2.6,4.9989329117,2.5,,-,With,both,,,
,,,,,0,,,,7.1,32.5,0.4,0.5,5.0260069071,2.5,,-,With,migration,,,
,,,,,0,,,,7,16.6,16.4,0.9,4.8985784777,0,-,with,only,online,adjustments,,
,,,,,0,,,,7,26,7,0.7,4.9468672434,0,,-,without,anything,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,-p,40,-t,10,-c,8,-r,10,,,,,
,,,,,0,,,,8.2,30.9,0.9,0.9,5.1007764283,1.8,-,with,both,,,,
,,,,,0,,,,8,32,0,0,5.0569803062,1.3,-,with,migration,,,,
,,,,,0,,,,8,32,0,0,5.0569803062,1.3,-,with,only,online,,,
,,,,,0,,,,8,27.2,4.8,0,5.0719298804,0,-,without,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,
