1.4 1.45 1.5 1.55 1.6 1.65 1.7 1.75
1000 1000 1000 1000 1000 1000
544683 784655 810448 905034 1024977 1086043 1144611 1372283
2298565 2589989 2840398 3159804 3345324 3601636 3710776 3819917
7587018 8152941 8396228 8717911 9223395 9511626 9799857 10088089
9948477 11797184 13010960 13693499 14135225 14576953 15018677 15460402
16786435 17691684 19012063 20121746 20770835 21419924 22069012 22718102
26959160 27359890 29848372 31297391 32306988 33316578 34326172 35335765
