1.2 1.3 1.4 1.5 1.6 1.7 1.8
1000 1000 1000 1000 1000 1000 1000
0 8 22 74 111 161 1000
3 21 65 220 318 1000 1000
2 9 72 350 1000 1000 1000
1 5 48 489 1000 1000 1000
0 2 31 1000 1000 1000 1000
